
[Turn 1] Stage: None

[Turn 2] Stage: None | Ended: False

[Turn 3] Stage: None | Ended: False

[Turn 4] Stage: None | Ended: False

[Turn 5] Stage: None | Ended: False

[Turn 6] Stage: None | Ended: False

[Turn 7] Stage: None | Ended: False

[Turn 8] Stage: None | Ended: False

[Turn 9] Stage: None | Ended: False

[Turn 10] Stage: None | Ended: False

[Turn 11] Stage: None | Ended: False

[Turn 12] Stage: None | Ended: False

[Turn 13] Stage: None | Ended: False

[Turn 14] Stage: None | Ended: False

[Turn 15] Stage: None | Ended: False

[Turn 16] Stage: None | Ended: False

[Turn 17] Stage: None | Ended: False

[Turn 18] Stage: None | Ended: False

[Turn 19] Stage: None | Ended: False

[Turn 20] Stage: None | Ended: False
